
Position,BKP,Bauteil,Bereichskapitel,Bereichstext
64,230,Elektro,Beleuchtung Kellerkorridor und Keller,"Die Beleuchtung Kellerkorridor und der Keller werden über 2 Bewegungsmelder über den Allgemeinstrom betrieben. Es ist zu prüfen, die Kellerabteile separat mit Schalter über Wohnungszähler zu betreiben, da unnötig die Beleuchtungen in den Kellern eingeschaltet werden."
65,230,Elektro,Beleuchtung – Elektro,"Die Beleuchtung im Vorraum ist zu prüfen, ob die Beleuchtung genügend ist."
66,230,Elektro,R und TV Installation,"Sind eine R und TV-Installation notwendig?Ist ein Glasfaseranschluss in den Wohnungen vorhanden, Multimediaverteilung vorhanden?"
67,231,Übriger Innenausbau,Starkstromanlagen,"AllgemeinDie gesamte Installation erfolgt nach Vorschrift der örtlichen Werke.Sämtliche Elektroinstallationen werden gemäss anerkannten Regeln der Technik ausgeführt (Normen NIN, NIV, VEMV, NISV usw.)Haupt- und Unterverteilungen Die Hauptverteilungen sind im Untergeschoss in den Technikräumen vorgesehen.Es sind sämtliche Zählereinrichtungen inkl. Reserveplatz, Sicherungen, FI-Schutzschalter, Elektronischer Schrittschalter, Überspannungsableiter und Steuerkomponenten für die Licht- und Kraftinstallationen der einzelnen Verbraucher eingebaut.Sonstige Elektrische Anlagen sind noch zu definieren!"
68,232,Elektro,Übriges,"Schilder und GravurenSämtliche Verbraucher, Schalter, Taster, Steckdosen, Abzweig- und Klemmdosen sowie Hauptkabel werden mit VK- und Sicherungsnummern dauerhaft beschriftet, in den Wohnungen werden nur die Multimediasteckdosen beschriftet."
69,242,Wärmeerzeugung,Wärmeerzeugung,"Wärme- und Warmwassererzeugung mit einer Wärmepumpe und Erdsonden.Steuerung mittels Witterungsgeführtem Aussentemperaturfühler.Pufferspeicher, Heizverteiler, Heizgruppe Bodenheizung, Armaturen, Expansionsanlage und Regulierung. Als Rohrmaterial werden Stahlrohre mit Rostschutzanstrich verwendet inkl. allen notwendigen Formstücken und Befestigungen. Dämmen der Rohrleitungen mit Mineralwollschalen.Dämmen der Rohrleitungen ist zu definieren, zbsp. mit Mineralwollschalen oder PIR-Schalen und einem PVC-Mantel, entsprechend den gesetzlichen Vorschriften. Dämmen der Armaturen mit Mineralwolle und Armaturenboxen aus Aluminiumblech. Füllen der Anlage mit demineralisiertem Wasser gemäss SWKI. Inbetriebsetzung und Einregulierung mit Protokoll, Betriebsanleitung und Instruktion an Personal.Für Wanddurchführungen durch Brandabschnitte sind Isolationen mit entsprechender Steinwolle / Brandabschottungen vorzusehen.Es ist zu prüfen, ob Störungs- und Alarmmeldungen dem Technischem Dienst (Hauswartung) gemeldet werden sollten?
Die Wärmeerzeugung (Heizung + Brauchwarmwasser) erfolgt ganzjährig durch eine Sole-Wasser-Wärmepumpenanlage, unterstützt durch eine PV-Anlage auf dem Dach (siehe Elektro-Beschrieb ZEV) inkl. Störmeldungen und Fernzugriff über das GLS. Die Legionellenschaltung wird durch ein Elektroheizeinsatz sichergestellt. Zur Laufzeitverlängerung und der hydraulischen Entkoppelung wird die Anlage zusätzlich mit einem Wärmespeicher ausgestattet.Grundsätzlich wird Gemäss der SVGW-Norm keine Legionellenschaltung mehr empfohlen, die Warmwassertemperatur sollte durchgehend 60°C betragen (Zirkulationspumpen Betrieb 24h)."
70,243,Wärmeverteilung,Wärmeverteilung,"Niedertemperatur-Fussbodenheizung mit Kunststoffrohren (diffusionsdicht). Warmwasseraufbereitung zentral, nach Erfordernissen der bauphysikalischen Vorgaben. Alle sichtbaren Leitungen werden gedämmt.Die Wärmemessung ebenfalls in den Verteilern eingebaut. Die Verbrauchsdaten können mittels Funksignals abgelesen werden. Um in den Zimmern individuelle Raumtemperaturen zu ermöglichen, werden elektrische Raumthermostaten (durch Elektriker) vorgesehen. Die Bodendämmungen und Randdämmstreifen werden vom Heizungsunternehmer geliefert und verlegt. Die Bodenfelder des Unterlagsbodens werden wo notwendig mit Fugenbändern getrennt. Durchdringungen mit Bodenheizungsrohren werden mit Schutzhülsen versehen.Es ist zu prüfen, wer die Randstellstreifen zurückschneidet, in der Regel ist dies in der Leistung des Heizungsunternehmer.
Eine verbrauchsabhängige Wärmemessung ist vorgesehen. Die bauseitig gelieferten Kalt- und Warmwassermessungen werden auf eine gemeinsame Datenzentrale geführt. Die Wärmeverteilung erfolgt in sämtlichen beheizten Räumen über eine im Bodenaufbau eingelassene Fussbodenheizung. Pro Wohneinheit gibt es einen FBH-Verteiler. Es ist zu empfehlen, die Zählung mittels M-Bus auszuführen."
71,243,Wärmeverteilung,Besondere Bemerkungen – Wärmeverteilung,2.5 Arbeitsausführungen / ProbenIrgendwelche Rohrverbindungen dürfen keine Materialschwächung der Rohrenden aufweisen und müssen den freien Rohrquerschnitt garantieren.Wenn möglich müssen alle Rohrverbindungen geschweisst werden.Die Leitungen sind auf Dichtigkeit zu prüfen (gemäss SWKI HE301-01) und von den zuständigen Werken oder Ämtern sowie von der Bauleitung abnehmen zu lassen. Die Prüfungen werden protokolliert an die Bauleitung abgegeben.Wurde dies mit der Bauherrschaft so vereinbart? Grundsätzlich können kleinere Leitungsdimensionen bis DN50 ohne Probleme gepresst werden.Auf Seite 37 werden gepresste Rohre ausgeschrieben!
72,243,Wärmeverteilung,Dämmungen – Wärmeverteilung,"Anstriche, Isolationen oder Überdeckungen von Leitungen und Installationen dürfen erst nachbestandener Prüfung und Abnahme durch die zuständigen Instanzen und/oder der Bauleitung vorgenommen werden.Zur Verhütung von vermeidbaren Schwitzwasserbildungen, Brandübertragungen, Korrosionen, Geräuschübertragungen, Dehnungsschäden an Leitungen und Bauteilen sowie Wärmeverlusten, sind die Isolationen äusserst sorgfältig auszuführen.Die Wärmedämmung ist durchgehend und lückenlos auszuführen. Das bedeutet, dass die Wärmeverteilung, Armaturen, Umwälzpumpen, Verteiler, Anschlüsse von Apparaten und Potenzialausgleich so anzuordnen sind, dass die Wärmedämmung realisiert werden kann (SIA384/1 Abs 5.4.1.2).Wärmedämmung Haustechnik (Es gelten die aktuellen Dämmdicken nach kantonalen Energiegesetzen Wärmedämmvorschriften)"
73,243,Wärmeverteilung,Bodendämmung,"2 Heizsystem:Die Bodendämmung ist nicht Bestandteil dieser Submission.Ist dies korrekt, wurde dies bei der Fa. für den Estrich eingerechnet? Schnittstelle?"
74,243,Wärmeverteilung,Leistungen des Unternehmers,inbegriffene Leistungen (Auswahl)Druckprobe mit Protokoll gemäss SWKI HE301-01 W3/E3Durchspülen des Leitungssystems vor der Abnahme gemäss SWKI HE301-01 W3/E3
75,243,Wärmeverteilung,Apparate,"Es ist nicht ersichtlich, ob bei sämtlichen gelieferten Apparaten auch die Inbetriebnahme eingerechnet wurde."
76,243,Wärmeverteilung,Armaturen,"Es ist zu prüfen, ob die Kosten für die Montage, Beschriftung und Mithilfe bei der Inbetriebsetzung der Feldgeräte (Sensoren und Aktoren) einzurechnen sind.Zusätzlich ist die Mithilfe bei der technischen Bearbeitung / Engineering, der Fremdschemata Beschaffung, der Einregulierung und Inbetriebsetzung sowie die Mithilfe bei integrierten Tests.Für alle Regeleinrichtungen sind die entsprechenden Verbindungen wie Flanschen, Gegenflanschen, Dichtungen, Schrauben, Verschraubungen, Tauchhülsen und die Hilfsmaterialien zu berücksichtigen."
77,244,Lüftungsanlagen,Lüftungsanlagen,"Kontrollierte Wohnungslüftung (Komfortlüftung) mit Wärmerückgewinnung ausgerüstet. Zentrale Anlage die die Zu- und Abluft über Lüftungskanäle zu den Wohnräumen verteilt. Wie wird die Anlage gesteuert? Stufenschalter? Co2 Fühler? Alle gefangenen Nebenräume im Untergeschoss sind mechanisch belüftet. Gibt es eine Entfeuchtung? Wie wird die Belüftung gesteuert? Zeit, Feuchte? Garage natürliche Zu- und Abluft (Garagentor mit Lochblechfüllung).
Lüftung Kellerraum Die Kellerräume im 3. Untergeschoss und im 1. Untergeschoss werden über eine neue Lüftungsanlage versorgt. Das Konzept ist dasselbe wie in den Wohnungen. Das Gerät hat lediglich eine Wärmerückgewinnung und einen konstanten Betrieb. Raumlufttemperatur und Feuchte können vom Lüftungsgerät in den Kellerräumen nicht eingestellt werden. Eine Frostsicherheit im Winter ist garantiert. Wie wird die Feuchte in den Kellerräumen geregelt? Werden Entfeuchtungsgeräte bereitgestellt? Ggf. Einsatz eines Adsorptionstrockner?"
78,244,Lüftungsanlagen,Technische Vorschriften,Motoren mit Riemenantrieb sind auf einem Spannschlitten am gemeinsamen Grundrahmen anzubringen. Der Grundrahmen ist auf Schwingungsdämpfer zu lagern. Je ein Satz Ersatzkeilriemen gleicher Qualität ist bei der Übergabe der Anlage dem Betreiber zu übergeben.Es sind lediglich noch EC-Motoren mit Direktantrieb einzubauen.
79,244,Lüftungsanlagen,Schutz vor Beschädigung,"Alle Anlageteile sind während Transport, Lagerung und Montage bis zur Inbetriebnahme vor Beschädigungen zu schützen.Dies dient auch zum Schutz vor Verunreinigung der Komponenten."
80,244,Lüftungsanlagen,Reinigungskonzept Kontrollierte Wohnungslüftung,Inkl. Reinigungsnachweis der Anlagen gemäss SWKI 104-1Abklatschtest (Ersthygiene Inspektion).
81,244,Lüftungsanlagen,Garage,Für periodische Lüftungen ist eine Schaltuhr vorgesehen. Die Lüftungsanlage wird mittels Lichtkontakt betrieben.Wird keine CO/ NO Anlage benötigt?
82,244,Lüftungsanlagen,Garage (Durchfahrtshöhe),"Es gibt diverse Bereiche in der Tiefgarage, die grössere Kreuzungen mit Lüftungskanäle aufweisen. Gemäss VSS Norm müssen die Durchfahrtshöhen eine lichte Raumhöhe von 2.30m und Parkplätze 2.20m aufweisen."
83,244,Lüftungsanlagen,Aussenluftfassung,"Die Aussenluftfassung beim Gewerbe (AU103) liegt direkt bei einem Eingangsbereich der Gewerbefläche. Da sich in diesem Bereich zbsp. Raucher aufhalten könnten, gilt es zu prüfen, ob die Aussenluftfassung an einem anderen Ort geplant werden kann?"
84,244,Lüftungsanlagen,Abluftauslass bei Umlufthaube,"Die Anordnung des Lüftungsauslasses direkt oberhalb der Umlufthaube soll überprüft werden. Bestenfalls wird dieser nicht direkt darüber platziert, da sonst fettige Luft angesogen werden könnte, was zu Ablagerungen und Verunreinigungen in den Leitungen führt."
85,250,Sanitär,Generelles,"Druckproben Alle Medien im Bereich Sanitäre Anlagen müssen einerfachgerechten protokollierten Druckprobe unterzogen werden.Unabhängig von der Fertigstellung der gesamten Installation, sind die montierten Leitungen, gemäss Aufforderung nach SVGW W3/E3 zu prüfen.Diese Punkte sind zu erfüllen:1. Druckprobe:Sämtliche Druckproben mit oelfreier Luft oder mitinerten Gasen (z.B.Stickstoff) auszuführen, wobei derPrüfdruck mindestens15 kPa (0.15 bar) betragen muss.2. Prüfzeit:Die Prüfzeit richtet sich nach dem Leitungsvolumen:- 50 Liter mind. 10. MinutenBei grösseren Leitungsvolumen ist die Prüfzeit pro 50 Literum 10 Minuten zu verlängern.Bei Anlagen mit einem grösseren Leitungsvolumen als400 Liter ist die Anlage strangweise zu prüfen.Es ist mindestens jeder Steigstrang als Etappe zu prüfen.Eine Gesamtprüfung pro Verteilerabgang muss vor der Befüllung erstellt werden. Von der Prüfung ausgenommen sind Apparate wieWassererwärmer usw. Messgeräte:Zur Druckprüfung sind entsprechende Messgeräte zu verwenden:- Elektronische Messgeräte - Manometer Ablesegenauigkeit < 1% 4. ev. undichte Stellen: Anfällige Undichtheiten sind mithilfe nicht korrosivwirkender, schaumbildender Mittel nach EN14291 zulokalisieren.
Wasserprobe inkl. Auswertung der Wasserqualität. Folgende  Punkte müssen auf der Auswertung ersichtlich sein:- KBE (AMK 30°C)- Gesamthärte - Natriumgehalt- PH-Wert- Enterokokken- Escherichia coli- Trübung"
86,250,Sanitär,Allgemeine Apparateliste,Lieferung und Montage der Sanitärapparate für alle Wohnungen gemäss Sanitas Troesch Offerte vom…….
87,250,Sanitär,Schallschutz – Sanitär,"Budget inkl. Schallschutzträger bei Dusche und Badewanne Porestaträger mit Schallschutzset SIA 181
Es sind die neusten Schallschutzvorgaben der SIA 181;2020 einzuhalten."
88,250,Sanitär,Sanitäranlagen,"Kalt- und WarmwasserleitungenKaltwasserleitungen ab Gebäudeeintritt, über eine Verteilbatterie, zu allen Verbrauchstellen, Wohnungsverteilern und Boiler geführt. Für die Wohnungen sind Kalt- und Warmwasserzähler vorgesehen. Als Rohrmaterial werden Chromstahl-Rohre (Hauptverteilung) und Kunststoff- Leitungen (Feinverteilung) verwendet, inkl. allen notwendigen Formstücken und Befestigungen. Dämmen der Rohrleitungen ist zu definieren.Ver und EntsorgungsleitungenWerkstoff ist zu definieren PE-HD oder PE-Silent Leitungen"
89,250,Sanitär,Besondere Bemerkungen – Sanitär,3.5 Arbeitsausführungen / ProbenIrgendwelche Rohrverbindungen dürfen keine Materialschwächung der Rohrenden aufweisen und müssen den freien Rohrquerschnitt garantieren.Wenn möglich müssen alle Rohrverbindungen geschweisst werden.Grundsätzlich werden im Häuslichem Sanitärbereich keine Rohre geschweisst.Die Leitungen sind auf Dichtigkeit zu prüfen (gemäss SVGW W3/E3) und von den zuständigen Werken oder Ämtern sowie von der Bauleitung abnehmen zu lassen. Die Prüfungen werden protokolliert an die Bauleitung abgegeben.Bei Frostgefahr sind sämtliche Leitungen nach der Druckprobe sorgfältig zu entleeren. Notfalls sind geeignete Frostschutzmittel zu verwenden.Frostschutzmittel haben im Sanitärbereich nichts zu suchen.
90,250,Sanitär,Dämmungen – Sanitär,"Anstriche, Isolationen oder Überdeckungen von Leitungen und Installationen dürfen erst nachbestandener Prüfung und Abnahme durch die zuständigen Instanzen und/oder der Bauleitung vorgenommen werden.Zur Verhütung von vermeidbaren Schwitzwasserbildungen, Brandübertragungen, Korrosionen, Geräuschübertragungen, Dehnungsschäden an Leitungen und Bauteilen sowie Wärmeverlusten, sind die Isolationen äusserst sorgfältig auszuführen.Alle Warmgehaltenen Teile eines Warmwasserverteilsystems müssen in ihrer gesamten Länge ausnahmslos mit Wärmedämmung versehen werden. Speicheranschlüsse (z.B. Verschraubungen und Armaturen sind durchgehend zu dämmen. (SIA385/1 Abs 5.3.1.1 und 5.2.4.2).Wärmedämmung Haustechnik (Es gelten die aktuellen Dämmdicken nach kantonalen Energiegesetzen Wärmedämmvorschriften)"
91,250,Sanitär,Leitungen,"Materialisierung:Rohre: Chromstahl, 1.4401 Formstücke: Chromstahl: 1.4401 / 1.4571Gemäss Beschrieb werden sämtliche Leitungen in 1.4401 ausgeführt, im Ausmass sind jedoch Leitungen in 1.4521 ausgeschrieben. Es ist zu prüfen, welche vorgaben gelten.
KaltwasserleitungenEs werden zwei neue Hauszuleitungen ab der Birchlenstrasse bis ins Untergeschoss geführt. Das Haus 26/24 und 22/20 erhält je eine Hauptmessung mit Druckreduzierventil welche einmal im Trocknungsraum und einmal im Haustechnikraum platziert werden.Die Verteilleitungen im Keller und in den Steigzonen werden in Chromstahlrohren (Press-System), Werkstoff 1.4401, ausgeführt.Grundsätzlich können Kosten mit dem CNS-Rohr 1.4521 eingespart werden, die Qualität ist für das Trinkwasser vollkommen ausreichend.Die Aussenhahnen im hinteren Bereich des Gebäudes, je 1x bei jedem Eingang, werden mit einem Tresorkasten gegen unbeabsichtigtes benutzen gesichert.Die Aussenhahnen der Attikawohnungen werden mit red. Druck an die Wohnungsverteiler angeschlossen. Balkone und Loggias bekommen keinen Aussenhahn. lm Weiteren werden auf dem Dach noch zwei Aussenhähne installiert, welche mit einem Frostschutzband zu versehen sind.Wie wird die Hygiene des Trinkwassers gewährleistet, sind die Apparate abgeschlauft (72h Regel).
Die Leitungen werden ab den Abgängen der Verteilbatterie nach dem zentralen DRV abgenommen und über die Kellerverteilung, Steigzonen zu den Unterverteilungen geführt. Ab der Unterverteilung erfolgt die Erschliessung bis ins oberste Geschoss. Die Wasserverteilung erfolgt mittels Pex-Verteiler unmittelbar unterhalb der Waschtische. Die Apparategruppen sind auf jedem Geschoss separat absperrbar und mit einem Wasserzähler ausgerüstet. Sämtliche Strangabsperrungen sind mit Entleerventile auszurüsten.
Warmwasser: Im Grundsatz gilt es, solche Risiken durch Präventivmassnahmen zu vermeiden. Dies erfolgt insbesondere durch folgende Massnahmen: Sicherstellen von Warmwassertemperaturen > als 60 58°C beim ErwärmerMindestens 55°C in den warm gehaltenen LeitungenMindestens 50°C an den EntnahmestellenZirkulationsleitungen müssen hydraulisch abgeglichen sein, so dass sämtliche Verzweigungen gut durchspült sindKaltwasserleitungen sind optimal gegen Warmwasserleitungen abzuisolieren Die Leitungen sind mit Druckluft abzupressen (150mbar)Leitungen sind im Rohbau sauber zu verschliessen
Installationen, KaltwasserDer Abgang mit Kaltwasser Hochdruck speist die Gartenhahnen im Aussenbereich, sowie die Gartenhahnen pro Duschgarderoben, zur Bewässerung resp. Reinigung. Durchspült werden die beiden letzten Leitungsteile mittels Endverbraucher Waschraum (A 4.1.7 und Putzraum A 1.1.7) Zur Verhinderung eines Rückstoßes ist ein Rückschlagsventil beim Abgang bei der Verteilbatterie eingebaut. Es ist zu prüfen, ob die Durchspülung der Leitungen ausreicht (Abwesenheiten, nicht benutzen der Apparate) die Entnahmestellen, bzw. der Leitungsinhalt muss alle 72h erneuert werden, anderenfalls sind Systemtrenner einzusetzen.
Pro Duschanlage und Nasszelle ist ein Verteilerkasten vorgesehen, ab welcher die Leitungen mittels Kunststoff-System (Rohr in Rohr-System) bis auf die Zapfstellen verlegt werden (Einlage in Beton wo nötig)Wie wird die Hygiene in den Stichleitungen (Ausstossleitungen) sichergestellt? Es ist zu prüfen, ob die Installationen als Ringleitung, bzw. abgeschlauft ausgeführt werden.
Die Warmwasserversorgung wird so ausgelegt, dass 60°C am Ausgang der Wassererwärmer, 55° C in den warm gehaltenen Leitungen und 50° C an den Entnahmestellen erreicht werden kann. (Auflagen gemäss SIA 385/1:2011 2020 sowie SIA 385/2:2015)"
92,250,Sanitär,Schmutzabwasser,"Materialisierung:Rohre: PE-H / PE-S2 (Silent) Formstücke: PE-H / PE-S2 (Silent) Die gesamte Entwässerung in den Wohnungen wird in PE-Silent ausgeführt.Die Entlüftungsleitungen über Dach werden in PE-H ausgeführt.Sämtliche PE-Silent Rohren werden mit Geberit Isol. Gegen Schall gedämmt.Erstellen von sämtlichen Tropfwasseranschlüssen (Technikraum, Luftentfeuchter etc.). Die Entwässerung des Untergeschosses erfolgt über die Abwasserhebeanlage. Das Abwasser wird via Pumpendruckleitung in die hochliegende Schmutzwasserleitung in der Garage gepumpt. Die Montage hat mit Dehnungselementen zu erfolgen (nicht starr)."
93,250,Sanitär,Terrassenwasser,"Lieferung und Montage von Terrassenwasserfallleitungen inkl. sämtlicher Anschlussleitungen der Dacheinläufe. Alle Leitungen und Formstücke werden in schallgedämmten PE-S2 Rohren ausgeführt. Das Terrassenwasser wird seitlich an der Fassade bis ins Erdgeschoss geführt und oberflächlich versickert. Vor jeder Hebeschiebetüre ist eine SIA-Rinne vorgesehen, die Direkt angeschlossen wird."
94,250,Sanitär,Installationselemente,"Es ist zu prüfen, ob die Vorwände ausgeflockt werden müssen (Schall- und Brandschutz)."
95,250,Sanitär,Spültischmischer,Spültischmischer
96,250,Sanitär,Probenahmeventile,"Am Verteiler eingebaut sind alle nötigen Armaturen wie, Wasserzähler, Probenahmeventil, Rückflussverhinderer, Druckreduzierventil und ein rückspülbarer Feinfilter."
97,250,Sanitär,Verteilbatterie,Die Verteilbatterie besteht aus:HauptwasserzählerProbenahmeventilRückspülbarer Feinfilter Druckreduzierventil HeizungsfüllventilEnthärtungsanlage1 Strang Schlauchventile Allgemein 2 Strang Wohnungen 3 Strang Wohnungen4 Strang Wassererwärmer
98,250,Sanitär,Ver- und Entsorgungsapparate,"Lieferung und Montage der Kalt- und Warmwasserzähler (Unterputz) in den Wohnungen. Für den allgemeinen Teil sind Aufputz Zähler vorgesehen. Die Ablesung der Zähler erfolgt via Funk.Es ist zu prüfen, die Zähler für das Energiemonitoring ebenfalls über M-Bus zu lösen und dies in die Gebäudeautomation miteinzubinden (Lebensdauer der Zählerbatterie 5-10 Jahre)."
99,250,Sanitär,"Sanitäranlagen, Bauseitige Leistungen","Das Abdichten von Duschen und Badwannen ist mittels Zargenband abzudichten, sämtliche Plattendurchdringungen und Befestigungspunkte sind mit Dichtungsmassen abzudichten."
100,250,Sanitär,Druckerhöhungsanlage,Der von der Industriellen Werke Basel IWB zur Verfügung stehende Druck bei dem Projekt Wallstrasse/Bollwerk (Walltstrasse) beträgt auf Strassenniveau 4.85 bar. Der vorgeschriebene Druck für die Feuerlöschposten an der obersten Stelle beträgt der Ruhedruck 3.0 bar bei einem Durchsatz von 0.27l/s. Es ist eine Druckerhöhung für Brandschutztechnische Anwendungen einzusetzen. Die Anforderungen dazu sollten mit dem zuständigen QSS-Verantwortlichen geklärt werden.
101,250,Sanitär,Feuerlöschleitung,"Das Wasser in der Feuerlöschleitung ist «kein Trinkwasser», es dürfen keine Sanitärapparate am Ende der Feuerlöschleitung angeschlossen werden. Zum Schutz des Trinkwassersnetzen der IWB, ist an der Verteilbatterie im Abgang Feuerlöschleitung eine Gewichtsbelastet Rückschlagklappe mit Leckanzeige vorgesehen. Sämtliche Anschlussstellen sind mit einem Piktogramm kein Trinkwasser zu bezeichnen."
102,250,Sanitär,Leitungsspülung Trinkwasser,"Diese Position beinhaltet sämtliche Aufwendungen des Unternehmers während der Bauausführung für die Spülungen sämtlicher Versorgungsleitungen.Ausschreibungspositionen:Erstbefüllung und Spülung mit Angaben zum Zeitfenster (z.B. während 2-3 Monaten alle 72h spülen)Nach Erstbefüllung und Spülung Probeentnahmen/Wasseranalysen (ca. 1-2 Stk. pro 25 Wohnungen)Wasserproben/WasseranalysenKW ca. 1-2 Stk.WW und Zirkulation ca. 1-2 Stk.3 Wochen vor Übergabe / SchlussabnahmeTemperaturaufzeichnung WW und Zirkulation (nach erfolgreicher IBS). Nachweis Einhaltung BWW-Temperatur an der BWW-Erzeugung, Zirkulation und an ca. 2 Entnahmestellen (z.B. Küche, Duschen).Erstellen Spülkonzept (Spülplan) mit Spülprotokoll."
103,250,Sanitär,Bestand (Abbrucharbeiten),"Demontage-Arbeiten sind, aufgrund fehlender Revisionsunterlagen, nicht kalkuliert. Eingerechnet ist das Entleeren der zu demontierenden Wasserinstallationen (Sanitär und Heizung). Aus Sicht QualiCasa empfiehlt sich eine Begehung mit einer Abbruchfirma durchzuführen, um allfällige kosten in der Vergabe bereits einzurechnen."
104,250,Sanitär,Technikzentrale – Sanitär,"Die Verteilbatterie Sanitär sowie der Eintritt der Fernwärme (Übergabestation) sind Suboptimal angerodnet. Gemäss W3/E3:2020, Abs. 6.4 müssen Anlagekomponenten in kühlen, aber frostsicheren Räumen aufgestellt werden, sodass das Trinkwasser kalt und nicht unzulässig erwärmt wird (Legionellenbildung). Dies ist im Zuge der Ausführungsplanung Beachtung zu schenken."
105,250,Sanitär,Planprüfung,"Es sind Entlüftungsleitungen auf der Dachterasse (Dachgarten) ersichtlich, die Kanalgase können beim Aufenthalt störend wirken. Es sind Massnahmen zu treffen.QualiCasa empfiehlt den Einsatz der Geberit ERV Ventile um Geruchsemissionen zu verhindern.
Um die Problematik von Pex-Leitungen bei Schalelementen zu entschärfen, bietet Nussbaum mögliche Einlegehilfen an (Bild unten). Diese sorgen dafür, dass keine nachträglichen Spitzarbeiten erforderlich und die Pex-Leitungen am Schluss korrekt positioniert sind.
Es ist nicht ersichtlich, wie der Wasseranschluss beim Waschturm ausgeführt wird. Um den Wandabstand möglichst gering zu halten und gleichzeitig die Bedienbarkeit sicherzustellen, sind die Absperrventile oberhalb des Waschturms anzuordnen. Wir gehen davon aus, dass dies bereits so eingeplant wurde.
Es ist zu prüfen, ob die Wasserleitungen, Abwasserleitungen und Elektrosteckdosen an der Backsteinwand oder der Liftwand eingeplant werden können. So wären keine Installationen an der Wohnungstrennwand erforderlich, was den Schallschutz erhöht.
Die Entlüftungsleitungen wurden in Richtung der Vorwandinstallation verlegt, womöglich aufgrund der Koordination auf dem Dach. Es soll geprüft werden, ob die Leitungen stattdessen in Richtung Nasszelle oder Wohnen/Küche geführt werden können, um die Installationsebenen der Vorwände für mögliche spätere Umplanungen oder Umnutzungen freizuhalten.
Es konnte nicht exakt eruiert werden (PDF), wie lange die Anschlussleitung der Küche geplant wurde. Gemäss SN 592000 sind unbelüftete Apparate bis zu einer Länge von 4 m zulässig. Aufgrund der zusätzlich eingeplanten Bögen sehen wir eine erhöhte Verstopfungsgefahr. Es ist anzunehmen, dass diese Leitungsführung auf die eingezeichneten Deckenspots zurückzuführen ist.Gerne hätten wir hierzu eine Einschätzung des Planers.
In den Grundrissen ist nicht ersichtlich, ob die Leitungen gemäss Legende mit Armaflex oder Geberit-Isolierung gedämmt werden müssen. Aus unserer Sicht sollten die Einlagen in der Decke über dem Untergeschoss mit Armaflex und Geberit-Isolierung gedämmt werden, insbesondere die Umlenkung bei der Fallleitung (Siehe auch Geberit Schall- und Brandschutzbroschüre, Seite 45).
Es soll überprüft werden, ob bei den Geberit-Varino-Bodenabläufen Geruchsverschlussklappen zur Vermeidung von Geruchsemissionen eingebaut werden können."
106,250,Sanitär,Dämmung – Sanitär,Dämmen sämtlicher Kaltwasserleitung zur Verhinderung von Kondensatbildung. Der Fachplaner gibt vor Kaltwasserleitungen innerhalb von den Installationsschächten mit 50mm Dämmstärke zu isolieren. Dämmen sämtlicher Warmwasserleitungen zur Reduzierung der Auskühlverluste. Dämmen der Schmutzwasserleitungen zur Verhinderung von Schallübertragungen auf das Gebäude.Generell ist die Ummantelung und der Dämmtyp zu definieren.
107,254,Sanitär,Vorwand-Installationssystem,Lieferung und Montage der jeweiligen in den Plänen definierten Vorwand-Installationssysteme inkl. Spiegelschranknischen.
108,258,Innenausbau Küche,Kücheneinrichtungen,Küchen aus Normelementen hergestellt und schallhemmend montiert.Definieren wie der Dampfabzug funktioniert?Alle Küchen werden mit Umlufthauben (Küchenbauer) mit eingebauten Aktivkohle-Longlife Filter ausgerüstet.
109,258,Innenausbau Küche,Gewürzschrank,"Gewürzschrank:Es ist zu prüfen, den Gewürzschrank mit Relingen auszustatten, um mögliche Beschädigungen des Glaskeramikkochfelds zu verhindern. Dieser Punkt wurde bereits in der Planprüfung der Architektur erwähnt!"
110,258,Innenausbau Küche,Beleuchtung – Innenausbau Küche,"Generell:Es ist zu prüfen, ob die Luxanzahl für die Beleuchtung des Küchenbauers und die des Dampfabzugs mit der gleichen grösse (3000k oder 4000k) ausgeführt bzw. gelplant wurde."
111,258,Innenausbau Küche,Bodenbelag,"Generell:Es wird empfohlen, den Parkettboden unter der Küche durchgängig auszuführen. Die Mehrkosten sind in der Regel gering, und mögliche Änderungen während der Bauphase oder spätere Anpassungen in der Nutzung (z. B. für Barrierefreiheit) können dadurch einfacher umgesetzt werden."
112,258,Innenausbau Küche,Sockelblende,"Küchen nach PlanSockelausführung mit Stellfüssen oder Holzunterkonstruktion, Oberfläche Sockelblende wie Fronten.Es ist darauf zu achten, dass die Sockelblende mit Magnetstreifen und einer Dichtungslippe ausgeführt wird, um eine einfache Demontage der Sockel zu ermöglichen. Sollte darauf verzichtet werden, sollte dies mindestens beim Geschirrspüler berücksichtigt werden."
113,258,Innenausbau Küche,Schallschutz – Innenausbau Küche,"Montage und Befestigungen der EinbauschränkeWir möchten auf die korrekte schallentkoppelte Montage hinweisen, die bei den eingebauten Möbeln zwingend zu beachten ist. Dazu gehören unter anderem Schallschutzdübel, Konsolen und Trennbänder. Es ist sicherzustellen, dass die dafür anfallenden Kosten entsprechend eingeplant werden."
114,258,Innenausbau Küche,Energieeffizienzklasse,"Geschirrspüler / Kühlschrank / Weinkühler etc.Es ist darauf zu achten, dass nach Möglichkeit Geräte mit einer Energieeffizienzklasse A ausgewählt werden."
